;do_nothing;;;shuffleOnce;;;shuffle;;;staticOneOverC;;;dynamicOneOverC;;;staticOneOverR;;;dynamicsOneOverR;;;staticROverC;;;dynamicROverC
; #success ; success ?;; #success ; success ?;; #success ; success ?;; #success ; success ?;; #success ; success ?;; #success ; success ?;; #success ; success ?;; #success ; success ?;; #success ; success ?;
;24;0;;24;0;;24;0;;23;0;;24;0;;22;0;;24;0;;23;0;;21;0;
;26;0;;26;0;;28;0;;24;0;;24;0;;24;0;;24;0;;24;0;;24;0;
;20;0;;20;0;;23;0;;21;0;;21;0;;20;0;;20;0;;21;0;;21;0;
;27;0;;27;0;;26;0;;25;0;;25;0;;25;0;;25;0;;25;0;;25;0;
;24;0;;24;0;;25;0;;27;0;;27;0;;27;0;;27;0;;27;0;;26;0;
;22;0;;22;0;;23;0;;22;0;;20;0;;22;0;;21;0;;24;0;;20;0;
;23;0;;23;0;;25;0;;20;0;;20;0;;20;0;;20;0;;20;0;;21;0;
;26;0;;26;0;;24;0;;26;0;;26;0;;26;0;;24;0;;24;0;;26;0;
;24;0;;24;0;;24;0;;23;0;;23;0;;22;0;;23;0;;24;0;;24;0;
;26;0;;26;0;;26;0;;22;0;;22;0;;25;0;;26;0;;21;0;;22;0;
;25;0;;25;0;;25;0;;22;0;;23;0;;22;0;;24;0;;22;0;;22;0;
;24;0;;24;0;;22;0;;25;0;;25;0;;22;0;;24;0;;22;0;;22;0;
;20;0;;20;0;;26;0;;20;0;;20;0;;20;0;;20;0;;20;0;;20;0;
;25;0;;25;0;;27;0;;26;0;;26;0;;26;0;;26;0;;26;0;;26;0;
;23;0;;23;0;;26;0;;23;0;;23;0;;23;0;;23;0;;24;0;;24;0;
;22;0;;22;0;;24;0;;22;0;;22;0;;22;0;;22;0;;22;0;;22;0;
;25;0;;25;0;;25;0;;25;0;;25;0;;25;0;;25;0;;25;0;;25;0;
;23;0;;23;0;;24;0;;23;0;;23;0;;23;0;;23;0;;23;0;;23;0;
;25;0;;25;0;;25;0;;25;0;;25;0;;25;0;;25;0;;25;0;;25;0;
;26;0;;26;0;;26;0;;25;0;;25;0;;25;0;;25;0;;25;0;;25;0;
;27;0;;27;0;;28;0;;26;0;;26;0;;26;0;;26;0;;26;0;;26;0;
;24;0;;24;0;;25;0;;24;0;;24;0;;24;0;;24;0;;27;0;;24;0;
;24;0;;24;0;;24;0;;23;0;;23;0;;23;0;;23;0;;23;0;;23;0;
;24;0;;24;0;;24;0;;22;0;;22;0;;22;0;;24;0;;25;0;;26;0;
;23;0;;23;0;;24;0;;23;0;;23;0;;23;0;;22;0;;23;0;;23;0;
;26;0;;26;0;;25;0;;24;0;;24;0;;24;0;;24;0;;24;0;;26;0;
;28;0;;28;0;;25;0;;26;0;;25;0;;26;0;;25;0;;26;0;;25;0;
;25;0;;25;0;;24;0;;24;0;;24;0;;24;0;;24;0;;25;0;;25;0;
;25;0;;25;0;;23;0;;25;0;;24;0;;25;0;;25;0;;24;0;;24;0;
;23;0;;23;0;;21;0;;23;0;;23;0;;23;0;;23;0;;23;0;;25;0;
;24;0;;24;0;;27;0;;22;0;;21;0;;22;0;;22;0;;22;0;;22;0;
;26;0;;26;0;;27;0;;26;0;;27;0;;27;0;;26;0;;26;0;;26;0;
;24;0;;24;0;;27;0;;25;0;;25;0;;25;0;;25;0;;25;0;;25;0;
;24;0;;24;0;;27;0;;22;0;;22;0;;22;0;;21;0;;22;0;;22;0;
;23;0;;23;0;;25;0;;23;0;;23;0;;23;0;;23;0;;23;0;;23;0;
;27;0;;27;0;;27;0;;26;0;;25;0;;26;0;;26;0;;26;0;;25;0;
;26;0;;26;0;;24;0;;24;0;;24;0;;24;0;;25;0;;24;0;;24;0;
;22;0;;22;0;;24;0;;23;0;;23;0;;23;0;;23;0;;23;0;;20;0;
;26;0;;26;0;;26;0;;26;0;;26;0;;26;0;;26;0;;24;0;;24;0;
;26;0;;26;0;;26;0;;28;0;;28;0;;28;0;;28;0;;29;0;;28;0;
;25;0;;25;0;;25;0;;24;0;;24;0;;24;0;;26;0;;25;0;;24;0;
;25;0;;25;0;;25;0;;22;0;;22;0;;22;0;;22;0;;22;0;;22;0;
;21;0;;21;0;;25;0;;24;0;;24;0;;24;0;;24;0;;24;0;;24;0;
;26;0;;26;0;;24;0;;25;0;;25;0;;23;0;;25;0;;23;0;;23;0;
;27;0;;27;0;;27;0;;24;0;;25;0;;24;0;;24;0;;25;0;;25;0;
;24;0;;24;0;;24;0;;23;0;;23;0;;22;0;;22;0;;23;0;;23;0;
;25;0;;25;0;;27;0;;26;0;;26;0;;26;0;;26;0;;26;0;;26;0;
;28;0;;28;0;;26;0;;28;0;;28;0;;28;0;;28;0;;28;0;;28;0;
;22;0;;22;0;;23;0;;24;0;;23;0;;24;0;;24;0;;22;0;;22;0;
;29;0;;29;0;;28;0;;28;0;;28;0;;27;0;;27;0;;28;0;;28;0;
;24;0;;24;0;;24;0;;22;0;;22;0;;22;0;;23;0;;23;0;;21;0;
;25;0;;25;0;;26;0;;25;0;;25;0;;25;0;;25;0;;25;0;;25;0;
;24;0;;24;0;;25;0;;23;0;;22;0;;23;0;;23;0;;23;0;;22;0;
;24;0;;24;0;;26;0;;24;0;;24;0;;24;0;;24;0;;23;0;;25;0;
;27;0;;27;0;;26;0;;27;0;;27;0;;28;0;;27;0;;27;0;;28;0;
;25;0;;25;0;;25;0;;25;0;;24;0;;25;0;;25;0;;25;0;;25;0;
;22;0;;22;0;;23;0;;23;0;;23;0;;22;0;;20;0;;23;0;;23;0;
;23;0;;23;0;;25;0;;24;0;;24;0;;23;0;;23;0;;24;0;;24;0;
;24;0;;24;0;;26;0;;21;0;;21;0;;21;0;;21;0;;21;0;;21;0;
;23;0;;23;0;;23;0;;20;0;;20;0;;20;0;;20;0;;21;0;;20;0;
;26;0;;26;0;;25;0;;23;0;;23;0;;23;0;;23;0;;23;0;;23;0;
;23;0;;23;0;;25;0;;23;0;;24;0;;24;0;;24;0;;23;0;;23;0;
;27;0;;27;0;;25;0;;25;0;;23;0;;25;0;;23;0;;24;0;;25;0;
;23;0;;23;0;;26;0;;24;0;;24;0;;24;0;;25;0;;24;0;;24;0;
;26;0;;26;0;;27;0;;23;0;;23;0;;25;0;;25;0;;23;0;;23;0;
;22;0;;22;0;;26;0;;23;0;;22;0;;23;0;;23;0;;23;0;;23;0;
;25;0;;25;0;;24;0;;26;0;;23;0;;26;0;;26;0;;26;0;;23;0;
;25;0;;25;0;;26;0;;24;0;;23;0;;24;0;;25;0;;24;0;;23;0;
;27;0;;27;0;;26;0;;27;0;;26;0;;27;0;;27;0;;27;0;;26;0;
;25;0;;25;0;;27;0;;24;0;;24;0;;25;0;;24;0;;24;0;;24;0;
;20;0;;20;0;;23;0;;22;0;;22;0;;22;0;;22;0;;22;0;;22;0;
;22;0;;22;0;;22;0;;22;0;;22;0;;23;0;;22;0;;22;0;;22;0;
;27;0;;27;0;;24;0;;26;0;;26;0;;25;0;;26;0;;26;0;;26;0;
;26;0;;26;0;;27;0;;26;0;;26;0;;26;0;;26;0;;25;0;;25;0;
;27;0;;27;0;;24;0;;23;0;;24;0;;23;0;;24;0;;24;0;;24;0;
;26;0;;26;0;;28;0;;26;0;;27;0;;26;0;;27;0;;26;0;;26;0;
;25;0;;25;0;;26;0;;23;0;;23;0;;24;0;;21;0;;22;0;;22;0;
;23;0;;23;0;;26;0;;25;0;;25;0;;25;0;;25;0;;25;0;;25;0;
;26;0;;26;0;;26;0;;25;0;;24;0;;25;0;;25;0;;25;0;;25;0;
;27;0;;27;0;;25;0;;26;0;;23;0;;26;0;;25;0;;26;0;;23;0;
;29;0;;29;0;;28;0;;29;0;;29;0;;29;0;;29;0;;27;0;;27;0;
;26;0;;26;0;;25;0;;22;0;;22;0;;22;0;;22;0;;22;0;;22;0;
;21;0;;21;0;;25;0;;20;0;;20;0;;20;0;;21;0;;20;0;;20;0;
;22;0;;22;0;;24;0;;22;0;;22;0;;22;0;;22;0;;22;0;;22;0;
;21;0;;21;0;;23;0;;23;0;;23;0;;21;0;;21;0;;23;0;;22;0;
;28;0;;28;0;;27;0;;25;0;;25;0;;22;0;;24;0;;25;0;;25;0;
;23;0;;23;0;;26;0;;21;0;;21;0;;21;0;;21;0;;21;0;;21;0;
;23;0;;23;0;;29;0;;23;0;;23;0;;23;0;;25;0;;23;0;;23;0;
;23;0;;23;0;;25;0;;26;0;;24;0;;26;0;;25;0;;26;0;;24;0;
;26;0;;26;0;;25;0;;24;0;;24;0;;27;0;;27;0;;24;0;;24;0;
;22;0;;22;0;;25;0;;22;0;;22;0;;21;0;;21;0;;23;0;;23;0;
;24;0;;24;0;;24;0;;24;0;;24;0;;24;0;;24;0;;24;0;;24;0;
;26;0;;26;0;;23;0;;26;0;;24;0;;26;0;;26;0;;26;0;;24;0;
;27;0;;27;0;;23;0;;24;0;;25;0;;25;0;;25;0;;25;0;;25;0;
;19;0;;19;0;;22;0;;20;0;;21;0;;20;0;;20;0;;20;0;;21;0;
;20;0;;20;0;;24;0;;20;0;;20;0;;20;0;;20;0;;20;0;;20;0;
;27;0;;27;0;;27;0;;26;0;;26;0;;26;0;;26;0;;27;0;;26;0;
;25;0;;25;0;;26;0;;24;0;;24;0;;25;0;;25;0;;24;0;;24;0;
